area_fips,year,agglvl_code,own_title,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay
09007,1990,27,Private,All Industries,4011,55603,1457558520,26213
09009,1990,26,Total Covered,All Industries,22377,361225,9283821536,25700
09009,1990,27,Federal Government,All Industries,73,6541,210325022,32154
09009,1990,27,State Government,All Industries,162,11830,330486571,27936
09009,1990,27,Local Government,All Industries,407,28447,788387130,27714
09009,1990,27,Private,All Industries,21735,314407,7954622813,25300
09011,1990,26,Total Covered,All Industries,6326,109283,2741178401,25083
09011,1990,27,Federal Government,All Industries,62,4929,138197926,28037
09011,1990,27,State Government,All Industries,95,4962,144568751,29135
09011,1990,27,Local Government,All Industries,264,9092,248367692,27317
09011,1990,27,Private,All Industries,5904,90300,2210044032,24474
10001,1990,26,Total Covered,All Industries,2470,40811,818772017,20062
10001,1990,27,Federal Government,All Industries,26,2242,54185508,24168
10001,1990,27,State Government,All Industries,40,6007,150659691,25080
10001,1990,27,Local Government,All Industries,18,3558,83593745,23494
10001,1990,27,Private,All Industries,2384,29004,530333073,18284
10003,1990,26,Total Covered,All Industries,11770,246728,6487962367,26296
10003,1990,27,Federal Government,All Industries,34,3112,108088996,34732
10003,1990,27,State Government,All Industries,36,13268,283397268,21359
10003,1990,27,Local Government,All Industries,30,11158,294658288,26407
10003,1990,27,Private,All Industries,11670,219191,5801817815,26469
10005,1990,26,Total Covered,All Industries,3449,48556,847250996,17448
10005,1990,27,Federal Government,All Industries,26,462,12813696,27735
10005,1990,27,State Government,All Industries,0,0,0,0
10005,1990,27,Local Government,All Industries,30,3170,73053513,23045
10005,1990,27,Private,All Industries,3385,43459,731156352,16824
11001,1990,26,Total Covered,All Industries,0,0,0,0
11001,1990,27,Federal Government,All Industries,233,219702,8381872552,38151
11001,1990,27,State Government,All Industries,14,51186,1719359660,33590
11001,1990,27,Local Government,All Industries,0,0,0,0
11001,1990,27,International Government,All Industries,0,0,0,0
11001,1990,27,Private,All Industries,0,0,0,0
12005,1990,26,Total Covered,All Industries,3293,50946,882330075,17318
12005,1990,27,Federal Government,All Industries,31,3786,99013268,26152
12005,1990,27,State Government,All Industries,47,1034,21296546,20596
12005,1990,27,Local Government,All Industries,23,6296,132630860,21065
12005,1990,27,Private,All Industries,3192,39830,629389401,15801
12009,1990,26,Total Covered,All Industries,8355,162004,3755631731,23182
12009,1990,27,Federal Government,All Industries,32,6525,206010289,31572
12009,1990,27,State Government,All Industries,47,1982,41814498,21097
12009,1990,27,Local Government,All Industries,32,15081,329766687,21866
12009,1990,27,Private,All Industries,8244,138415,3178040257,22960
12011,1990,26,Total Covered,All Industries,35907,503031,11285818297,22435
12011,1990,27,Federal Government,All Industries,32,6006,198892147,33115
12011,1990,27,State Government,All Industries,73,7032,157180688,22352
12011,1990,27,Local Government,All Industries,61,52897,1408521643,26627
12011,1990,27,Private,All Industries,35741,437096,9521223819,21782
12015,1990,26,Total Covered,All Industries,2262,27428,487212500,17763
12015,1990,27,Federal Government,All Industries,6,235,6471628,27538
12015,1990,27,State Government,All Industries,27,603,12232381,20285
12015,1990,27,Local Government,All Industries,11,3137,66695993,21261
12015,1990,27,Private,All Industries,2218,23452,401812498,17133
12017,1990,26,Total Covered,All Industries,1696,21619,390010811,18040
12017,1990,27,Federal Government,All Industries,7,194,4797734,24730
12017,1990,27,State Government,All Industries,26,338,6825410,20193
12017,1990,27,Local Government,All Industries,10,2983,56914823,19079
12017,1990,27,Private,All Industries,1652,18104,321472844,17757
12019,1990,26,Total Covered,All Industries,1978,26194,448605694,17126
12019,1990,27,Federal Government,All Industries,7,356,9395304,26391
12019,1990,27,State Government,All Industries,30,389,6983187,17951
12019,1990,27,Local Government,All Industries,12,3168,72671125,22939
12019,1990,27,Private,All Industries,1929,22280,359556078,16138
12021,1990,26,Total Covered,All Industries,5589,72524,1330344352,18343
12021,1990,27,Federal Government,All Industries,12,518,15967874,30826
12021,1990,27,State Government,All Industries,30,675,13341164,19764
12021,1990,27,Local Government,All Industries,21,5709,137313000,24052
12021,1990,27,Private,All Industries,5525,65622,1163722314,17733
12029,1990,26,Total Covered,All Industries,203,2345,42265151,18023
12029,1990,27,Federal Government,All Industries,6,34,1008661,29666
12029,1990,27,State Government,All Industries,18,447,9160621,20493
12029,1990,27,Local Government,All Industries,9,402,7358209,18304
12029,1990,27,Private,All Industries,170,1461,24737660,16932
12031,1990,26,Total Covered,All Industries,15982,346249,7688078514,22203
12031,1990,27,Federal Government,All Industries,60,17515,489528471,27949
12031,1990,27,State Government,All Industries,77,6419,135317657,21080
12031,1990,27,Local Government,All Industries,15,28346,670087537,23639
12031,1990,27,Private,All Industries,15829,293969,6393144849,21747
12033,1990,26,Total Covered,All Industries,5558,107640,2147197761,19947
12033,1990,27,Federal Government,All Industries,35,10971,318286110,29011
12033,1990,27,State Government,All Industries,65,3780,74311118,19659
12033,1990,27,Local Government,All Industries,22,10965,234372241,21374
12033,1990,27,Private,All Industries,5436,81924,1520228292,18556
12035,1990,26,Total Covered,All Industries,587,7542,125319425,16616
12035,1990,27,Federal Government,All Industries,3,81,2424267,29929
12035,1990,27,State Government,All Industries,18,119,2375797,19964
12035,1990,27,Local Government,All Industries,12,1111,19490645,17543
12035,1990,27,Private,All Industries,554,6231,101028716,16213
12037,1990,26,Total Covered,All Industries,263,2098,30884615,14720
12037,1990,27,Federal Government,All Industries,4,39,985232,25262
12037,1990,27,State Government,All Industries,21,211,4042869,19160
12037,1990,27,Local Government,All Industries,12,413,7284099,17637
12037,1990,27,Private,All Industries,226,1433,18572415,12960
12045,1990,26,Total Covered,All Industries,248,3513,73308083,20867
12045,1990,27,Federal Government,All Industries,5,23,614036,26697
12045,1990,27,State Government,All Industries,21,196,3443289,17567
12045,1990,27,Local Government,All Industries,9,620,10488522,16916
12045,1990,27,Private,All Industries,213,2674,58762236,21975
12053,1990,26,Total Covered,All Industries,1634,20322,347225525,17086
12053,1990,27,Federal Government,All Industries,6,276,6892066,24971
12053,1990,27,State Government,All Industries,21,411,7930469,19295
12053,1990,27,Local Government,All Industries,13,3282,69865316,21287
12053,1990,27,Private,All Industries,1594,16354,262537674,16053
12057,1990,26,Total Covered,All Industries,20532,440368,9297193128,21112
12057,1990,27,Federal Government,All Industries,53,10892,333060317,30578
12057,1990,27,State Government,All Industries,86,13611,293748089,21581
12057,1990,27,Local Government,All Industries,26,37348,880618210,23578
12057,1990,27,International Government,All Industries,0,0,0,0
12057,1990,27,Private,All Industries,20366,378462,7788060518,20578
12061,1990,26,Total Covered,All Industries,2948,34242,672219162,19631
12061,1990,27,Federal Government,All Industries,9,357,10331853,28940
12061,1990,27,State Government,All Industries,26,477,10775454,22590
12061,1990,27,Local Government,All Industries,18,3226,77476390,24016
12061,1990,27,Private,All Industries,2895,30182,573635465,19005
12065,1990,26,Total Covered,All Industries,254,2876,41902015,14569
12065,1990,27,Federal Government,All Industries,4,36,884949,24581
12065,1990,27,State Government,All Industries,20,257,5179100,20152
12065,1990,27,Local Government,All Industries,8,528,9367119,17740
12065,1990,27,Private,All Industries,222,2054,26470847,12887
12071,1990,26,Total Covered,All Industries,8975,125743,2417444891,19225
12071,1990,27,Federal Government,All Industries,22,1563,46214892,29568
12071,1990,27,State Government,All Industries,56,3141,55642428,17714
12071,1990,27,Local Government,All Industries,42,14956,321269323,21480
12071,1990,27,Private,All Industries,8855,106083,1994318248,18799
12075,1990,26,Total Covered,All Industries,492,5349,81571161,15249
12075,1990,27,Federal Government,All Industries,7,77,1825541,23708
12075,1990,27,State Government,All Industries,17,287,5406639,18838
12075,1990,27,Local Government,All Industries,15,1065,20369486,19126
12075,1990,27,Private,All Industries,453,3919,53969495,13771
12077,1990,26,Total Covered,All Industries,99,1402,23376862,16673
12077,1990,27,Federal Government,All Industries,3,56,1006275,17969
12077,1990,27,State Government,All Industries,16,321,6246621,19459
12077,1990,27,Local Government,All Industries,7,229,4508733,19688
12077,1990,27,Private,All Industries,74,796,11615233,14592
12081,1990,26,Total Covered,All Industries,3936,74469,1352439071,18161
12081,1990,27,Federal Government,All Industries,11,968,29399153,30371
12081,1990,27,State Government,All Industries,32,955,19755021,20685
12081,1990,27,Local Government,All Industries,27,7501,165752927,22097
12081,1990,27,Private,All Industries,3866,65046,1137531970,17488
12085,1990,26,Total Covered,All Industries,3311,38746,792272085,20447
12085,1990,27,Federal Government,All Industries,11,299,8097381,27081
12085,1990,27,State Government,All Industries,30,784,17284784,22046
12085,1990,27,Local Government,All Industries,14,3545,74825678,21107
12085,1990,27,Private,All Industries,3255,34118,692064242,20284
12087,1990,26,Total Covered,All Industries,2787,30390,535260590,17613
12087,1990,27,Federal Government,All Industries,22,1301,34196218,26284
12087,1990,27,State Government,All Industries,36,652,14867651,22803
12087,1990,27,Local Government,All Industries,14,3447,81617179,23677
12087,1990,27,Private,All Industries,2714,24990,404579542,16189
12089,1990,26,Total Covered,All Industries,902,12103,255620909,21120
12089,1990,27,Federal Government,All Industries,6,627,31386880,50058
12089,1990,27,State Government,All Industries,19,300,5799828,19332
12089,1990,27,Local Government,All Industries,13,1777,36772213,20693
12089,1990,27,Private,All Industries,863,9399,181661988,19327
12091,1990,26,Total Covered,All Industries,3326,53475,939385593,17566
12091,1990,27,Federal Government,All Industries,27,6698,161572646,24122
12091,1990,27,State Government,All Industries,33,849,17018121,20044
12091,1990,27,Local Government,All Industries,26,5612,117333856,20907
12091,1990,27,Private,All Industries,3240,40315,643460970,15960
12099,1990,26,Total Covered,All Industries,25749,363759,8571047672,23562
12099,1990,27,Federal Government,All Industries,34,4152,132550841,31924
12099,1990,27,State Government,All Industries,79,7316,165844357,22668
12099,1990,27,Local Government,All Industries,73,33205,878477290,26456
12099,1990,27,Private,All Industries,25563,319085,7394175184,23173
12101,1990,26,Total Covered,All Industries,4498,61748,1047177700,16958
12101,1990,27,Federal Government,All Industries,10,632,16933586,26793
12101,1990,27,State Government,All Industries,28,984,20064134,20390
12101,1990,27,Local Government,All Industries,20,7809,159634982,20442
12101,1990,27,Private,All Industries,4440,52323,850544998,16255
12103,1990,26,Total Covered,All Industries,20837,349509,7025903308,20102
12103,1990,27,Federal Government,All Industries,28,6207,194760866,31377
12103,1990,27,State Government,All Industries,58,4121,86675743,21032
12103,1990,27,Local Government,All Industries,47,29315,681030381,23231
12103,1990,27,Private,All Industries,20703,309866,6063436318,19567
12107,1990,26,Total Covered,All Industries,1040,16106,301514749,18720
12107,1990,27,Federal Government,All Industries,11,186,4569193,24565
12107,1990,27,State Government,All Industries,25,532,10701551,20115
12107,1990,27,Local Government,All Industries,15,3162,66029749,20882
12107,1990,27,Private,All Industries,989,12226,220214256,18011
12109,1990,26,Total Covered,All Industries,1936,26647,456203342,17120
