area_fips,year,agglvl_code,own_title,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay
12009,1992,71,State Government,"Total, all industries",44,1969,44967881,22837
12009,1992,71,Local Government,"Total, all industries",31,15652,362878466,23185
12009,1992,71,Private,"Total, all industries",8937,135881,3611273466,26577
12011,1992,70,Total Covered,"Total, all industries",38988,500531,12566998732,25107
12011,1992,71,Federal Government,"Total, all industries",42,6109,233822015,38273
12011,1992,71,State Government,"Total, all industries",76,7311,173758153,23766
12011,1992,71,Local Government,"Total, all industries",63,56841,1634851909,28762
12011,1992,71,Private,"Total, all industries",38807,430260,10524324258,24460
12015,1992,70,Total Covered,"Total, all industries",2404,28112,539580907,19194
12015,1992,71,Federal Government,"Total, all industries",6,222,7248071,32673
12015,1992,71,State Government,"Total, all industries",27,623,13545274,21751
12015,1992,71,Local Government,"Total, all industries",11,3455,77275428,22366
12015,1992,71,Private,"Total, all industries",2360,23812,441512134,18542
12017,1992,70,Total Covered,"Total, all industries",1814,21814,442062868,20265
12017,1992,71,Federal Government,"Total, all industries",8,169,5435158,32256
12017,1992,71,State Government,"Total, all industries",25,342,7400981,21640
12017,1992,71,Local Government,"Total, all industries",10,2946,61512783,20882
12017,1992,71,Private,"Total, all industries",1771,18357,367713946,20031
12019,1992,70,Total Covered,"Total, all industries",2055,28326,531793817,18774
12019,1992,71,Federal Government,"Total, all industries",7,338,9408308,27876
12019,1992,71,State Government,"Total, all industries",27,405,7860626,19393
12019,1992,71,Local Government,"Total, all industries",11,3474,80590409,23196
12019,1992,71,Private,"Total, all industries",2011,24108,433934474,17999
12021,1992,70,Total Covered,"Total, all industries",6040,72593,1474036368,20306
12021,1992,71,Federal Government,"Total, all industries",13,514,18018063,35055
12021,1992,71,State Government,"Total, all industries",31,675,14266183,21125
12021,1992,71,Local Government,"Total, all industries",22,5771,161879570,28052
12021,1992,71,Private,"Total, all industries",5974,65632,1279872552,19501
12029,1992,70,Total Covered,"Total, all industries",212,2244,39647542,17669
12029,1992,71,Federal Government,"Total, all industries",4,21,766440,36210
12029,1992,71,State Government,"Total, all industries",18,443,9654337,21785
12029,1992,71,Local Government,"Total, all industries",9,378,8058585,21343
12029,1992,71,Private,"Total, all industries",182,1402,21168180,15099
12031,1992,70,Total Covered,"Total, all industries",17209,339589,8371831816,24653
12031,1992,71,Federal Government,"Total, all industries",69,15569,514238146,33030
12031,1992,71,State Government,"Total, all industries",81,6275,142098549,22644
12031,1992,71,Local Government,"Total, all industries",15,27837,739864325,26578
12031,1992,71,Private,"Total, all industries",17044,289908,6975630796,24062
12033,1992,70,Total Covered,"Total, all industries",5929,109264,2382685247,21807
12033,1992,71,Federal Government,"Total, all industries",38,10141,340298805,33557
12033,1992,71,State Government,"Total, all industries",71,4077,85651788,21010
12033,1992,71,Local Government,"Total, all industries",21,10925,244955920,22422
12033,1992,71,Private,"Total, all industries",5799,84122,1711778734,20349
12035,1992,70,Total Covered,"Total, all industries",618,7153,134672203,18828
12035,1992,71,Federal Government,"Total, all industries",2,73,2775022,37884
12035,1992,71,State Government,"Total, all industries",19,125,2639779,21161
12035,1992,71,Local Government,"Total, all industries",13,1244,22877057,18390
12035,1992,71,Private,"Total, all industries",585,5711,106380345,18628
12037,1992,70,Total Covered,"Total, all industries",261,2415,36931590,15295
12037,1992,71,Federal Government,"Total, all industries",3,31,990057,31514
12037,1992,71,State Government,"Total, all industries",20,225,4679954,20777
12037,1992,71,Local Government,"Total, all industries",13,386,7453102,19300
12037,1992,71,Private,"Total, all industries",225,1772,23808477,13438
12045,1992,70,Total Covered,"Total, all industries",238,3492,77436367,22179
12045,1992,71,Federal Government,"Total, all industries",3,17,613992,35253
12045,1992,71,State Government,"Total, all industries",19,232,4481188,19281
12045,1992,71,Local Government,"Total, all industries",9,575,10633089,18490
12045,1992,71,Private,"Total, all industries",207,2667,61708098,23141
12053,1992,70,Total Covered,"Total, all industries",1760,21565,402494757,18664
12053,1992,71,Federal Government,"Total, all industries",6,249,7516217,30145
12053,1992,71,State Government,"Total, all industries",22,473,9880914,20897
12053,1992,71,Local Government,"Total, all industries",14,3502,81969436,23406
12053,1992,71,Private,"Total, all industries",1718,17341,303128190,17480
12057,1992,70,Total Covered,"Total, all industries",22174,430670,10314956282,23951
12057,1992,71,Federal Government,"Total, all industries",64,11273,415142545,36827
12057,1992,71,State Government,"Total, all industries",89,13795,314347402,22788
12057,1992,71,Local Government,"Total, all industries",25,38039,956882033,25155
12057,1992,71,Private,"Total, all industries",21994,367337,8620930163,23469
12061,1992,70,Total Covered,"Total, all industries",3030,32543,700267381,21518
12061,1992,71,Federal Government,"Total, all industries",9,322,11757853,36525
12061,1992,71,State Government,"Total, all industries",26,501,12090135,24116
12061,1992,71,Local Government,"Total, all industries",17,3604,92263636,25601
12061,1992,71,Private,"Total, all industries",2979,28116,584155757,20777
12065,1992,70,Total Covered,"Total, all industries",246,3015,47666403,15812
12065,1992,71,Federal Government,"Total, all industries",4,33,986808,29753
12065,1992,71,State Government,"Total, all industries",20,373,7754189,20784
12065,1992,71,Local Government,"Total, all industries",8,514,9686653,18849
12065,1992,71,Private,"Total, all industries",215,2094,29238753,13960
12071,1992,70,Total Covered,"Total, all industries",9394,123947,2665434167,21505
12071,1992,71,Federal Government,"Total, all industries",27,1491,53754590,36059
12071,1992,71,State Government,"Total, all industries",61,2960,59365733,20059
12071,1992,71,Local Government,"Total, all industries",42,16445,391355318,23797
12071,1992,71,Private,"Total, all industries",9264,103052,2160958526,20970
12075,1992,70,Total Covered,"Total, all industries",510,5457,91316129,16735
12075,1992,71,Federal Government,"Total, all industries",6,72,2026173,28338
12075,1992,71,State Government,"Total, all industries",19,266,5474495,20620
12075,1992,71,Local Government,"Total, all industries",15,1026,22026278,21472
12075,1992,71,Private,"Total, all industries",470,4094,61789183,15093
12077,1992,70,Total Covered,"Total, all industries",107,1468,26151002,17813
12077,1992,71,Federal Government,"Total, all industries",4,55,1124728,20419
12077,1992,71,State Government,"Total, all industries",14,320,6659088,20815
12077,1992,71,Local Government,"Total, all industries",7,248,4909894,19778
12077,1992,71,Private,"Total, all industries",83,845,13457292,15929
12081,1992,70,Total Covered,"Total, all industries",4136,84230,1608607993,19098
12081,1992,71,Federal Government,"Total, all industries",10,950,33612288,35372
12081,1992,71,State Government,"Total, all industries",34,925,20664476,22336
12081,1992,71,Local Government,"Total, all industries",27,7717,185037313,23977
12081,1992,71,Private,"Total, all industries",4066,74638,1369293916,18346
12085,1992,70,Total Covered,"Total, all industries",3516,36924,867179800,23485
12085,1992,71,Federal Government,"Total, all industries",10,264,8737122,33158
12085,1992,71,State Government,"Total, all industries",30,816,19465591,23870
12085,1992,71,Local Government,"Total, all industries",15,3264,81004944,24821
12085,1992,71,Private,"Total, all industries",3461,32582,757972143,23264
12086,1992,70,Total Covered,"Total, all industries",60584,844666,21401619236,25337
12086,1992,71,Federal Government,"Total, all industries",94,18837,758201090,40250
12086,1992,71,State Government,"Total, all industries",89,14797,348219818,23534
12086,1992,71,Local Government,"Total, all industries",42,88528,2496557582,28201
12086,1992,71,Private,"Total, all industries",60341,721842,17774915720,24624
12087,1992,70,Total Covered,"Total, all industries",2966,29763,592977330,19923
12087,1992,71,Federal Government,"Total, all industries",28,1273,38117739,29943
12087,1992,71,State Government,"Total, all industries",36,658,16311438,24799
12087,1992,71,Local Government,"Total, all industries",19,3334,86378737,25907
12087,1992,71,Private,"Total, all industries",2883,24498,452169416,18457
12089,1992,70,Total Covered,"Total, all industries",950,12954,314212113,24256
12089,1992,71,Federal Government,"Total, all industries",7,660,36585918,55454
12089,1992,71,State Government,"Total, all industries",18,287,6000845,20903
12089,1992,71,Local Government,"Total, all industries",13,1772,40051723,22597
12089,1992,71,Private,"Total, all industries",912,10235,231573627,22627
12091,1992,70,Total Covered,"Total, all industries",3663,55281,1060665275,19187
12091,1992,71,Federal Government,"Total, all industries",27,6701,183051353,27317
12091,1992,71,State Government,"Total, all industries",34,856,18785893,21957
12091,1992,71,Local Government,"Total, all industries",27,5629,124990135,22205
